"Name","Version","License","URL"
"GitPython","3.1.45","BSD-3-Clause","https://github.com/gitpython-developers/GitPython"
"Jinja2","3.1.6","BSD License","https://github.com/pallets/jinja/"
"MarkupSafe","3.0.3","BSD-3-Clause","https://github.com/pallets/markupsafe/"
"PyMuPDF","1.24.14","GNU AFFERO GPL 3.0","https://github.com/pymupdf/pymupdf"
"PyYAML","6.0.3","MIT License","https://pyyaml.org/"
"acres","0.5.0","Apache Software License","https://github.com/nipreps/acres"
"aiofiles","25.1.0","Apache Software License","https://github.com/Tinche/aiofiles"
"altair","5.5.0","BSD License","https://github.com/vega/altair"
"annotated-doc","0.0.4","MIT","https://github.com/fastapi/annotated-doc"
"annotated-types","0.7.0","MIT License","https://github.com/annotated-types/annotated-types"
"anyio","4.12.0","MIT","https://anyio.readthedocs.io/en/stable/versionhistory.html"
"attrs","25.4.0","MIT","https://www.attrs.org/en/stable/changelog.html"
"blinker","1.9.0","MIT License","https://github.com/pallets-eco/blinker/"
"blis","0.7.11","BSD License","https://github.com/explosion/cython-blis"
"cachetools","6.2.2","MIT License","https://github.com/tkem/cachetools/"
"catalogue","2.0.10","MIT License","https://github.com/explosion/catalogue"
"certifi","2025.11.12","Mozilla Public License 2.0 (MPL 2.0)","https://github.com/certifi/python-certifi"
"charset-normalizer","3.4.4","MIT","https://github.com/jawah/charset_normalizer/blob/master/CHANGELOG.md"
"ci-info","0.3.0","Apache Software License","https://github.com/mgxd/ci-info"
"click","8.3.1","BSD-3-Clause","https://github.com/pallets/click/"
"cloudpathlib","0.16.0","MIT License","https://github.com/drivendataorg/cloudpathlib"
"colorama","0.4.6","BSD License","https://github.com/tartley/colorama"
"confection","0.1.5","MIT License","https://github.com/explosion/confection"
"configobj","5.0.9","BSD License","https://github.com/DiffSK/configobj"
"configparser","7.2.0","MIT License","https://github.com/jaraco/configparser"
"cymem","2.0.11","MIT License","https://github.com/explosion/cymem"
"distro","1.9.0","Apache Software License","https://github.com/python-distro/distro"
"einops","0.7.0","MIT License","https://github.com/arogozhnikov/einops"
"etelemetry","0.3.1","Apache Software License","https://github.com/sensein/etelemetry-client"
"fastapi","0.121.0","MIT","https://github.com/fastapi/fastapi"
"filelock","3.20.0","Unlicense","https://github.com/tox-dev/py-filelock"
"fsspec","2025.12.0","BSD-3-Clause","https://github.com/fsspec/filesystem_spec"
"gitdb","4.0.12","BSD License","https://github.com/gitpython-developers/gitdb"
"grpcio","1.76.0","Apache Software License","https://grpc.io"
"h11","0.16.0","MIT License","https://github.com/python-hyper/h11"
"h2","4.3.0","MIT License","https://github.com/python-hyper/h2/"
"hpack","4.1.0","MIT License","https://github.com/python-hyper/hpack/"
"httpcore","1.0.9","BSD-3-Clause","https://www.encode.io/httpcore/"
"httplib2","0.31.2","MIT License","https://github.com/httplib2/httplib2"
"httptools","0.7.1","MIT","https://github.com/MagicStack/httptools"
"httpx","0.28.1","BSD License","https://github.com/encode/httpx"
"huggingface-hub","0.36.0","Apache Software License","https://github.com/huggingface/huggingface_hub"
"hyperframe","6.1.0","MIT License","https://github.com/python-hyper/hyperframe/"
"idna","3.11","BSD-3-Clause","https://github.com/kjd/idna"
"importlib_resources","6.5.2","Apache Software License","https://github.com/python/importlib_resources"
"jiter","0.12.0","MIT License","https://github.com/pydantic/jiter/"
"joblib","1.5.2","BSD License","https://joblib.readthedocs.io"
"jsonschema","4.25.1","MIT","https://github.com/python-jsonschema/jsonschema"
"jsonschema-specifications","2025.9.1","MIT","https://github.com/python-jsonschema/jsonschema-specifications"
"langcodes","3.5.1","MIT License","https://github.com/georgkrause/langcodes"
"looseversion","1.3.0","Python Software Foundation License","https://github.com/effigies/looseversion"
"lxml","6.0.2","BSD-3-Clause","https://lxml.de/"
"mpmath","1.3.0","BSD License","http://mpmath.org/"
"murmurhash","1.0.13","MIT License","https://github.com/explosion/murmurhash"
"narwhals","2.13.0","MIT License","https://github.com/narwhals-dev/narwhals"
"networkx","3.6.1","BSD-3-Clause","https://networkx.org/"
"nibabel","5.3.3","MIT License","https://nipy.org/nibabel"
"nipype","1.10.0","Apache Software License","http://nipy.org/nipype"
"numpy","1.26.4","BSD License","https://numpy.org"
"openai","2.7.1","Apache Software License","https://github.com/openai/openai-python"
"packaging","26.0","Apache-2.0 OR BSD-2-Clause","https://github.com/pypa/packaging"
"pandas","2.3.3","BSD License","https://pandas.pydata.org"
"pathlib","1.0.1","MIT License","https://pathlib.readthedocs.org/"
"pdf2image","1.17.0","MIT License","https://github.com/Belval/pdf2image"
"pillow","12.0.0","MIT-CMU","https://python-pillow.github.io"
"pipdeptree","2.31.0","MIT","https://github.com/tox-dev/pipdeptree"
"portalocker","3.2.0","BSD-3-Clause","https://github.com/wolph/portalocker/"
"preshed","3.0.10","MIT License","https://github.com/explosion/preshed"
"protobuf","6.33.2","3-Clause BSD License","https://developers.google.com/protocol-buffers/"
"prov","2.1.1","MIT","https://github.com/trungdong/prov"
"puremagic","1.30","MIT License","https://github.com/cdgriffith/puremagic"
"pyarrow","22.0.0","Apache Software License","https://arrow.apache.org/"
"pydantic","2.12.3","MIT","https://github.com/pydantic/pydantic"
"pydantic_core","2.41.4","MIT","https://github.com/pydantic/pydantic-core"
"pydeck","0.9.1","Apache License 2.0","https://github.com/visgl/deck.gl/tree/master/bindings/pydeck"
"pydot","4.0.1","MIT","https://github.com/pydot/pydot"
"pyparsing","3.3.2","MIT","https://github.com/pyparsing/pyparsing/"
"pypdf","6.1.3","BSD-3-Clause","https://github.com/py-pdf/pypdf"
"python-dateutil","2.9.0.post0","Apache Software License; BSD License","https://github.com/dateutil/dateutil"
"python-dotenv","1.2.1","BSD-3-Clause","https://github.com/theskumar/python-dotenv"
"python-multipart","0.0.20","Apache-2.0","https://github.com/Kludex/python-multipart"
"pytz","2025.2","MIT License","http://pythonhosted.org/pytz"
"pywin32","311","Python Software Foundation License","https://github.com/mhammond/pywin32"
"pyxnat","1.6.4","BSD License","https://github.com/pyxnat/pyxnat"
"qdrant-client","1.15.1","Apache Software License","https://github.com/qdrant/qdrant-client"
"rdflib","7.5.0","BSD License","https://github.com/RDFLib/rdflib"
"referencing","0.37.0","MIT","https://github.com/python-jsonschema/referencing"
"regex","2025.11.3","Apache-2.0 AND CNRI-Python","https://github.com/mrabarnett/mrab-regex"
"requests","2.32.5","Apache Software License","https://requests.readthedocs.io"
"rpds-py","0.30.0","MIT","https://github.com/crate-py/rpds"
"safetensors","0.7.0","Apache Software License","https://github.com/huggingface/safetensors"
"scikit-learn","1.8.0","BSD-3-Clause","https://scikit-learn.org"
"scipy","1.16.3","BSD License","https://scipy.org/"
"sentence-transformers","3.0.1","Apache Software License","https://www.SBERT.net"
"simplejson","3.20.2","Academic Free License (AFL); MIT License","https://github.com/simplejson/simplejson"
"six","1.17.0","MIT License","https://github.com/benjaminp/six"
"smart-open","6.4.0","MIT License","https://github.com/piskvorky/smart_open"
"smmap","5.0.2","BSD License","https://github.com/gitpython-developers/smmap"
"sniffio","1.3.1","Apache Software License; MIT License","https://github.com/python-trio/sniffio"
"spacy","3.7.4","MIT License","https://spacy.io"
"spacy-legacy","3.0.12","MIT License","https://spacy.io"
"spacy-loggers","1.0.5","MIT","https://github.com/explosion/spacy-loggers"
"srsly","2.5.1","MIT License","https://github.com/explosion/srsly"
"starlette","0.49.3","BSD-3-Clause","https://github.com/Kludex/starlette"
"streamlit","1.52.1","Apache Software License","https://streamlit.io"
"sympy","1.14.0","BSD License","https://sympy.org"
"tenacity","9.1.2","Apache Software License","https://github.com/jd/tenacity"
"thinc","8.2.5","MIT License","https://github.com/explosion/thinc"
"threadpoolctl","3.6.0","BSD License","https://github.com/joblib/threadpoolctl"
"tokenizers","0.21.4","Apache Software License","https://github.com/huggingface/tokenizers"
"toml","0.10.2","MIT License","https://github.com/uiri/toml"
"torch","2.1.2+cu121","BSD License","https://pytorch.org/"
"torchaudio","2.1.2+cu121","BSD License","https://github.com/pytorch/audio"
"torchvision","0.16.2+cu121","BSD","https://github.com/pytorch/vision"
"tornado","6.5.2","Apache Software License","http://www.tornadoweb.org/"
"tqdm","4.67.1","MIT License; Mozilla Public License 2.0 (MPL 2.0)","https://tqdm.github.io"
"traits","7.1.0","BSD License","http://docs.enthought.com/traits"
"transformers","4.48.3","Apache Software License","https://github.com/huggingface/transformers"
"typer","0.9.4","MIT License","https://github.com/tiangolo/typer"
"typing-inspection","0.4.2","MIT","https://github.com/pydantic/typing-inspection"
"typing_extensions","4.15.0","PSF-2.0","https://github.com/python/typing_extensions"
"tzdata","2025.2","Apache Software License","https://github.com/python/tzdata"
"urllib3","2.6.1","MIT","https://github.com/urllib3/urllib3/blob/main/CHANGES.rst"
"uvicorn","0.38.0","BSD-3-Clause","https://uvicorn.dev/"
"wasabi","1.1.3","MIT","https://github.com/explosion/wasabi"
"watchdog","6.0.0","Apache Software License","https://github.com/gorakhargosh/watchdog"
"watchfiles","1.1.1","MIT License","https://github.com/samuelcolvin/watchfiles"
"weasel","0.3.4","MIT License","https://github.com/explosion/weasel/"
"websockets","15.0.1","BSD License","https://github.com/python-websockets/websockets"
